term,definition,long_definition,vernacular_definition,note,example
juran,fishing rod.,fishing rod.,Tangkai pancing.,,JURANnya terlalu pendek untuk memancing di danau itu.
jurang,"ravine, gap.","ravine, gap.",Lembah yang dalam dan sempit.,,"Sebelum masuk ke JURANG, bis itu menabrak beberapa pohon dulu."
Jurdil,"honest and just, fair","contraction of Jujur dan Adil or honest and just, fair.",,,Pemilihan umum harus berlangsung JUJUR DAN ADIL (JURDIL)
juru,skilled worker.,^*skilled worker.,Orang yang menguasai suatu keahlian tertentu.,,Saya pikir JURU RAMAL itu telah meramal dengan tepat.
juru rawat,see RAWAT,nurse,,,
jururawat,see JURU and see RAWAT,see JURU and see RAWAT,,,
jurus,"steps, movements in martial arts. Also MEN-, MEN--I, -AN.","^steps, movements in martial arts. *MEN-: 1 point, lead (in a certain direction, etc.). 2 go in a certain direction. MEN--I: 1 head toward. 2 investigate, look into. *-AN: 1 direction. 2 academic department or field.",Menuju suatu arah secara langsung/lurus.,,Jalan JURUSAN Jakarta-Bogor bukan yang ini.
justru,"exactly, precisely.","*exactly, precisely.",Memang begitu yang sebenarnya; tepat.,,JUSTRU karena itulah saya menjadi marah.
juta,"million. BER-: by the millions. -AN: millions of, by the millions.","million. BER-: by the millions. -AN: millions of, by the millions.",,,
kabar,"news, report. MENG--I: to inform. MENG--KAN: to report s.t.","news, report. *MENG--I: to inform. *MENG--KAN: to report s.t.",Sinonim: berita; warta.,,Siapa yang akan MENGABARKAN berita ini kepada ibu?
kabel,cable.,cable.,Kawat yang dibungkus dengan karet atau plastik untuk menghantar listrik.,,
kabinet,governmental cabinet,governmental cabinet,,,
kabisat,see TAHUN,,,,
kabul,granted,"answered, granted (a request) MENG- -I, MENG- -KAN grant (a wish) answer a prayer PENG- -AN fulfilling (of a request)",,,Orang tuanya MENGABULKAN permohonan Ani supaya dibelikan motor baru
kabupaten,official residence of head of district.,official residence of head of district.,,,
kabur,"vague, blurred, hazy. MENG-: become hazy, blurred. Also MENG--KAN; MEMPER- +","vague, blurred, hazy. MENG-: become hazy, blurred. MENG--KAN; MEMPER-: blur, obscure s.t.",Tidak jelas; samar-samar.,,Alibinya MENGABURKAN semua tuduhan jaksa.
kabut,"fog, haze.","fog, haze.",Awan gelap yang menutup permukaan bumi.,,"Pagi ini cuaca akan BERKABUT, sebaiknya kamu jangan pergi."
kaca,glass; mirror. MENG-: look in the mirror.,^1 glass. 2 mirror. *MENG-: look in the mirror.,Benda yang biasanya tembus pandang dan mudah pecah terbuat dari gelas. Cermin.,,MENGACALAH pada dirimu sendiri sebelum mencela orang lain.
kacang,"bean, pea, peanut.","bean, pea, peanut. -PANJANG: long bean",Nama untuk beberapa jenis biji-bijian yang bisa dimakan.,,
kacau,"1. in disorder, in an uproar 2. confused 3. in disarray","1. in disorder, in an uproar 2. confused 3. in disarray KE~BALAUAN = chaos, total confusion MENG~BALAU~AN = cause chaos and confusion BER~ = 1. be all mixed up 2. mixed, blended BERSI~ = be in confusion (plural) * MENG~ = 1. stir ( a drink, paint, etc.) 2. stir up trouble 3. bother, distrub MENG~KAN, MEMPER~KAN = 1. mix, stir s.t. 2. make s.t. confusing 3. stir up trouble KE~AN = confusion, disorder ~AN = mixture s.t. mixed and disorganized ** PENG~ = agitator, distruber of the peace PENG~AN = commotion, disturbance, stir",,,** Polisi menangkap para PENGACAU
kacoak,cockroach,cockroach see kecoa,,,
kadal,lizard.,lizard.,Reptil yang berbentuk seperti buaya yang berukuran kecil.,,"KADAL raksasa itu disebut ""komodo""."
kadaluwarsa,out of date.,"out of date, expired.",Habis waktu/tempo; tidak model lagi.,,Jangan dimakan!... Makanan itu sudah KADALUWARSA.
kadang,sometimes. KADANG-KADANG: occasionally.,sometimes. *KADANG-KADANG: occasionally.,Tidak kerap.,,Saya tidak selalu mengajar di universitas itu hanya KADANG-KADANG saja.
kadang-kadang,"sometimes, occasionally.","sometimes, occasionally.",Sekali-sekali; ada kalanya.,,Hanya KADANG-KADANG saja dia datang menjenguk ibunya.
kadar,"degree, level of quality.","degree, level of quality.","Nilai yang terkandung didalam suatu benda (emas, perak); taraf; tingkatan.",,KADAR emas batuan ini tinggi sekali.
kader,cadres,cadres. *PENG-AN = forming of cadres; recruiting cadres,,,Organisasi itu melakukan PENGKADERAN anggota baru setiap tahun
Kadin,Chamber of Commerce and Industry in Indonesia.,(Kamar Dagang dan Industri Indonesia) Chamber of Commerce and Industry in Indonesia.,,,
Kadispen,a division of center for information in military,Kadispen is abbreviation of Kepala Dinas Penerangan (Chief of the center for information).,,,KADISPEN Police Republik Indonesia mengumumkan nama-nama orang yang menginisiatif makar
kado,"gift, present. MENG--KAN: give as a gift.","gift, present. *MENG--KAN: give as a gift.",Sinonim: hadiah.,,Saya akan MENGADOKAN sebuah televisi untuk perkawinanmu.
kafan,shroud.,shroud.,Kain pembungkus jenazah/mayat.,,Kain belacu biasanya dipakai sebagai kain KAFAN.
kaget,"startled, frightened.","startled, frightened.","terkejut, terperanjat.",,
kagum,"amazed, awestruck. MENG--I: be amazed by. Also MENG--KAN, KE--AN, PENG-.","amazed, awestruck. *MENG--I: be amazed by. *MENG--KAN: to amaze, to be amazing, impressive. *KE--AN: amazement. *PENG-: admirer.",Sinonim: takjub. Perasaan keheranan pada suatu hal yang mengandung unsur pujian.,,Saya adalah PENGAGUM fanatik anda.
kah,particle marking the thing in a question which is being asked about.,*a particle marking the thing in a question which is being asked about.,Partikel untuk membentuk suatu kalimat pertanyaan.,,ApaKAH saya harus pergi sekarang?
kaidah,"1. norm, rule. 2. principle. 3. theorem.","1. norm, rule. 2. principle. 3. theorem.",,,Peraturan ini dibuat berdasarkan KAIDAH hukum yang berlaku
kail,"fish hook. PENG-: angler, fisherman.","fish hook. PENG-: angler, fisherman.",Alat kecil terbuat dari logam yang melengkung untuk memancing ikan; pancing.,,PENGAIL itu belum mendapatkan seekor ikanpun.
kain,"cloth, fabric; type of women's clothing worn like a sarong.","1 cloth, fabric. 2 type of women's clothing worn like a sarong.","Barang yang dipakai untuk dibuat pakaian, biasanya terbuat dari kapas.",,
kaing,"yelp with pain. TERKAING-KAING = cried out, squealed.","yelp with pain (as a dog). TERKAING-KAING = cried out, squealed.",Bunyi jeritan kesakitan (untuk anjing).,,Anjing itu lari TERKAING-KAING ketika kakinya tertabrak mobil.
kait,"1. hook, barb 2. catch","~ BER~AN = interrelated, interconnected BER~ = 1. use a hook or crook 2. caught, hooked on s.t. * BER~AN = 1. link to e.o 2. be related to BER~2AN = related, linked together MENG~ = 1. hook 2. get caught, hooked on s.t. 3. embezzle ** MENG~KAN = 1. hook s.t. on to, attach s.t. 2. dock ( a ship) 3. connect, relate, 4. tie *** TER~ = be connected, hooked, interrelated KETER~AN = connection or interrelatedness ~AN = 1. hook, crook, link 2. connection PENG~ = hook, crook, linking PENG~AN = connnecting, obligating s.o. by making a certain action connected to s.o else. PER~AN = state of being docked",,,*** Ali Sadikin dinyatakan TERKAIT dengan Petisi 50
kaji,"see KAJI1=(knowledge, teaching . . .), KAJI2=(inspect, examine . . .).","see KAJI1=(knowledge, teaching . . .) KAJI2=(inspect, examine . . .)",,,
kaji,"MENG-: knowledge, teaching (esp. religious). Also MENG-, MENG--KAN.","^MENG-: knowledge, teaching (esp. religious). *MENG-: to recite Koranic verses. *MENG--KAN: to read Koranic verses out loud.",Membaca ayat-ayat dalam Al Qur'an.,,Ustad is the one who will RECITE VERSES FROM THE QUR'AN for the souls of our parents.
kaji,"MENGK-: inspect, examine, investigate. -AN: study, studies.","*^MENGK-: inspect, examine, investigate. *-AN: study, studies.",Suatu penyelidikan pada suatu hal.,,Para ahli astronom sedang MENGKAJI benda aneh yang jatuh dari langit itu.
kakak,"older brother/sister or cousin; term of address for older person (esp. ""kak"").","^*1 older brother/sister or cousin. 2 term of address for s.o. as old as an older sibling (expressed as ""kak"").",Orang yang dianggap lebih tua; saudara yang lebih tua.,,KAKAK sulung saya seorang perempuan.
kakap,"1. name given to many k.o. large fish; 2. big time criminal, gangster; 3. large scale (firm, operation)","1. name given to many k.o. large fish; 2. big time criminal, gangster; 3. large scale (firm, operation)",nama sejenis ikan laut yang besar,,Saya pikir pendidikanmu tidak cukup untuk melamar pekerjaan di perusahaan KAKAP seperti ini
kakatua,macaw,macaw,,,KAKATUA dapat menduplikat kata-kata manusia
kakek,grandfather.,grandfather.,Ayah dari ibu atau bapak; sebutan untuk laki-laki tua.,,
kaki,"foot, leg; foot (measurment); classifier for flowers/umbrellas. Also MENG-.","^1 foot, leg. 2 foot (in measurement). 3 classifier for flowers and umbrellas. *MENG-: serve, work for someone.",Bagian bawah tubuh yang menopang badan.,,Selama saya MENGAKI tidak sepeser imbalanpun kuterima.
kaku,"1. stiff, rigid. 2. clumsy, awkward. MENG--KAN: stiffen s.t. Also KE--AN.","1. stiff, rigid. 2. clumsy, awkward. MENG--KAN: stiffen s.t. KE--AN: 1. rigidity. 2. awkwardness in company.",,,
kakus,"[Coll.] privy, latrine","[Coll.] privy, latrine","kamar mandi, WC, tempat buang air",,Kami membantu membangun KAKUS umum di kampung
kala,"era, period of time, time.","*era, period of time, time. *KALAJENGKING = scorpion.","zaman, waktu",,Dahulu KALA ada seorang raja.
kalah,"defeated, loose, be inferior to. MENG-: give in, accede to. Also MENG--KAN, +","defeated, loose, be inferior to. MENG-: give in, accede to s.t. MENG--KAN: to defeat an opponent. KE--AN: defeat. -AN: an underdog.",Tidak menang; tidak bisa bersaing.,,KEKALAHAN reguku dalam kejuaraan ini karena faktor ketidak beruntungan.
kalajengking,SEE KALA,,,,
kalang,"circle, realm, field.","circle, realm, field.",Penyangga; lingkaran.,,
kalangan,"1. circle, arena. 2. realm.","1. circle, arena. 2. realm.",,,Organisasi ini hanya terbuka untuk KALANGAN tertentu saja
kalang-kabut,"confused, chaotic. MENG--KAN: to confuse. KE--AN: confusion, chaos.","confused, chaotic. MENG--KAN: to confuse. KE--AN: confusion, chaos.",,,
kalap,be possessed by evil spirits.,be possessed by evil spirits.,,,
kalau,if; when (future). -PUN: even though. Also KALAU-KALAU.,"^1 if. 2 when (future). *-PUN: even though. *KALAU-KALAU: 1 in case, lest. 2 maybe, perhaps.",Sinonim: seandainya; jika.,,Saya membawa payung ini KALAU-KALAU hari akan hujan.
kalbu,heart; mind,heart; mind,hati; pikiran,,Jangan ragu untuk mengeluarkan apa yang ada dalam KALBU mu
kalem,"calm, cool, patient, relaxed","calm, cool, patient, relaxed","tenang, sabar",,"TENANG saja, dia akan datang ke sini segera"
kalendar,see KALENDER,see KALENDER,,,
kalender,calendar,calendar.,,,Waktu upacara tradisional ditentukan berdasarkan KALENDER setiap tahun
kaleng,"tin, can.","tin, can.",Wadah yang terbuat dari belek (besi tipis berlapis timah).,,KALENG minyak ini bocor dibagian bawah.
kali,"KALI1=river. KALI2=time, times. Also SE-, SE--AN. SEKALI=very.","*KALI1 = river ^*KALI2 = 1 time, times. 2 (Math.) times. *SE-: 1 once, one time. 2 at the same time. 3 when (so-and-so happens), as soon as. (also see SEKALI) SE--AN: 1 all. 2 at the same time.",KALI1 = sungai.,,SEKALIAN kerajaan musuhnya ditundukkannya.
kalian,(plural) you (esp. to people of equal or lower social status).,*(plural) you (esp. to people of equal or lower social status.),Kamu (berjumlah banyak).,,Mengapa KALIAN ikuti saja kemauannya?
kaligus,see SEKALIGUS.,see SEKALIGUS.,,,
Kalimantan,"1. the Kalimantan Island, also known as Borneo. +","1. the Kalimantan Island in Indonesia, also known as Borneo. 2. Kalimantan Barat = Western Kalimantan Province in Indonesia. Its capital city is Pontianak. 3. Kalimantan Tengah = Central Kalimantan Province in Indonesia. Its capital city is Palangkaraya. 4. Kalimantan Selatan = Southern Kalimantan Province in Indonesia. Its capital city is Banjarmasin. 5. Kalimantan Timur = Eastern Kalimantan Province in Indonesia. Its capital city is Samarinda.",Nama sebuah pulau di Indonesia.,,Tahun lalu terjadi kebakaran hutan besar di KALIMANTAN.
kalimat,sentence.,sentence.,Rangkaian kata-kata yang mempunyai arti; perkataan.,,KALIMAT ini bisa berarti ganda.
kalkun,turkey,turkey,,,KALKUN adalah simbol perayaan Thanksgiving
kalo,see KALAU,,,,
kalung,necklace or pendant worn around the neck.,necklace or pendant worn around the neck.,Perhiasan yang dikenakan di leher.,,Itu KALUNG mutiara palsu yang terbuat dari campuran kaca dan plastik.
kalut,"confused, chaotic","confused, chaotic *KE--AN: confusion",,,"Saat ini pikiran saya sedang KALUT, tolong jangan mengganggu saya"
kamar,room.,*room.,Suatu ruangan di dalam rumah.,,KAMAR MANDI di rumah ini sempit sekali.
kambing,goat.,goat.,,,KAMBING itu kelihatan sakit
kambrat,"1. comrade 2. accomplice, party to a crime 3. small party, get together","^*1. comrade 2. accomplice, committed to s.t. 3. small party, get together BEr-: have an accomplice, have a companion in activity",,,*Ali KAMBRAT dalam kejahatan itu dengan Hasan
kambuh,relapse.,relapse.,Jatuh sakit lagi; penyakit yang datang lagi sesudah lama tidak muncul.,,"Kalau udara dingin begini, penyakit asmanya selalu KAMBUH."
kambus,"blocked, stopped up (of drain)","blocked, stopped up (of drain)",,,
kamerad,comrade,comrade,,,KAMERAD Jono memeriksa barisan tentara
kami,"we, us, our (excluding the hearer).","*we, us, our (excluding the hearer).",Semua orang tetapi tidak termasuk lawan bicara.,,KAMI telah berusaha sekuat tenaga untuk mengangkat batu itu.
kamil,perfect,perfect,,,Si Andi dikenal juga sebagai anak KAMIL
Kamis,Thursday.,Thursday.,Nama hari sesudah Rabu dan sebelum Jum'at.,,
kamit,see KOMAT KAMIT.,see KOMAT KAMIT.,,,
kamp,camp,camp. *--MILITER: military camp.,,,
kampung,"village. SE-: the whole village; of the same village. Also BER-, MENG--KAN, -AN.","village. *SE-: 1 the whole village. 2 of the same village. BER-: gathered, collected. MENG--KAN: gather, collect together. *-AN: countrified, simple.",Sinonim: desa/dusun. Suatu wilayah yang terdiri dari banyak rumah dan keluarga.,,Tindakanmu sangat KAMPUNGAN dan itu memalukan orang tuamu.
kampus,campus.,campus.,Tempat untuk belajar dan mengajar di lingkungan universitas/perguruan tinggi.,,
Kamra,people's security system,contraction of Keamanan Rakyat or people's security system.,,,
kamu,"you, your (informal intimate address or address for those of lower status).","*you, your (informal intimate address or address for those of lower social status).",Kata ganti untuk orang kedua. Sinonim: anda.,,Mengapa KAMU menangis nak?
kamus,dictionary.,*dictionary.,Buku yang memuat kata-kata dengan arti-artinya biasanya disusun menurut abjad.,,KAMUS bahasa Indonesia ini sangat lengkap isinya.
kan,"see KAN1 (It is the case, isn't it?) or KAN2 (short form of ""akan"").","see KAN1 (It is the case, isn't it?) KAN2 (short form of ""akan"")",,,
kan,"It is the case, isn't it?; Because as you well know . . .","^*1 It is the case, isn't it? 2 Because as you well know . . .",,,Ini KAN barang yang anda maksud.
kan,"short form of ""akan.""","*short form of ""akan.""",,,Siapa bilang tak KAN senang dengan pilihanmu.
kanak-kanak,child.,child.,Manusia yang belum dewasa (berumur sekitar dua sampai tujuh tahun).,,TAMAN KANAK-KANAK ini didirikan sepuluh tahun yang lalu.
kanan,right (as opposed to left).,*right (as opposed to left).,Lawan kata dari kiri.,,Di kiri-KANAN rumah itu terdapat pagar yang tinggi-tinggi.
kancah,large pot for cooking rice; depths,something figuratively comparable to a deep pot; depth; abyss *--INFORMASI: mine of information *--KESENGSARAAN: depth of despair *--PEPERANGAN: cauldron of war *--POLITIK: political arena,,,Andi sangat senang mendapat pekerjaan dalam KANCAH POLITIK
kancil,1. mouse deer; 2. a clever individual,1. mouse deer; 2. a clever individual,,,"Dalam kelompok itu, dia adalah si ""KANCIL"""
kancing,"button, snap; also MENG-(KAN), TER-","button, snap *MENG-(AN): button s.t., lock or latch s.t. *TER- : locked, button",,,"Malangnya, dia TERKANCING di kamarnya sendiri"
kandang,"1. stable, stall, pen; 2. place to keep vehicles, boats, etc.","1. stable, stall, pen; 2. place to keep vehicles, boats, etc. *-- AYAM: chicken coop *--BABI: pigpen *--BERMAIN: playpen *--KAPAL: boathouse *MENG--KAN: put into stable *PENG--AN: penning up of s.t.",,,Sapi-sapi ini memerlukan PENGANDANGAN khusus
kandidat,candidate,candidate.,,,
kandung,"womb, uterus. SE-: from the same womb. Also BER-, MENG-, TER-.","^1 womb, uterus. 2 pouch-like part of the body. SE-: from the same womb (i.e., full siblings). BER-: 1 have contents. 2 be pregnant. *MENG-: 1 be pregnant with. 2 contain. *TER-: to be contained.",kantung; tempat yang memuat sesuatu.,,Semua penjelasan telah TERKANDUNG di dalam tulisannya itu.
kang,"form of address: 1. used by a wife to a husband (Jv.), 2. to older men (Sunda).",1. form of address used by a wife to a husband (Javanese). 2. form of address to older men (Sundanese).,Sebutan untuk laki-laki dewasa; kakak; sebutan untuk suami di daerah Jawa.,,
kangen,to long for.,to long for.,Keinginan untuk bertemu lagi; rindu.,,"Setelah dua tahun tak berjumpa, dia sangat KANGEN pada istrinya."
kangkung,a kind of vegetable; water spinach; kangkung,kangkung,,,KANGKUNG tumbuh di rawa-rawa
kanguru,kangaroo.,kangaroo.,Nama sejenis binatang menyusui yang terdapat di benua Australia.,,
kanji,starch,starch *MENG--: to starch s.t.,,,Ibu mengaduk sayuran dengan tepung KANJI sebelum menggorengnya
kanker,cancer.,cancer.,,,
kanpas,canvas.,canvas.,Kain terpal; kain tebal untuk dasar lukisan.,,
kantin,canteen (usually attached to a workplace),canteen,tempat makan (biasanya di kantor-kantor),,Pada jam istirahat semua pekerja makan di KANTIN pabrik
kantong,see KANTUNG.,see KANTUNG.,,,
kantor,office.,office.,Tempat untuk bekerja.,,
kantuk,"sleepiness, drowsiness. MENG-: feel sleepy. Also TER-, PENG-.","^sleepiness, drowsiness. *MENG-: feel sleepy. TER-: doze off. *PENG-: s.o. given to dozing.",Perasaan akan tidur.,,Malas mengajak dia menonton bioskop karena dia PENGANTUK.
